"ID","year","country","assignment"
"AY352482",2004,"Russia","Cosmopolitan CA1"
"AY352483",2004,"Russia","Cosmopolitan CA1"
"AY352484",2004,"Russia","Cosmopolitan CA1"
"AY352485",2004,"Russia","Cosmopolitan CA1"
"AY352489",2004,"Kazakhstan","Cosmopolitan CA1"
"AY352490",2004,"Kazakhstan","Cosmopolitan CA1"
"AY352491",2004,"Kazakhstan","Cosmopolitan CA1"
"AY352492",2004,"Kazakhstan","Cosmopolitan CA1"
"AY352497",2004,"Georgia","Cosmopolitan CA2"
"AY500827",2004,"Ethiopia","Cosmopolitan AF1a"
"AY854504",2000,"Cuba","Cosmopolitan AM2a"
"AY854505",2001,"Cuba","Cosmopolitan AM2a"
"AY854506",2001,"Cuba","Cosmopolitan AM2a"
"AY854507",2000,"Cuba","Cosmopolitan AM2a"
"AY854515",2001,"Cuba","Cosmopolitan AM2a"
"AY854520",2002,"Cuba","Cosmopolitan AM2a"
"AY854524",2002,"Cuba","Cosmopolitan AM2a"
"AY854525",2001,"Cuba","Cosmopolitan AM2a"
"AY854527",2002,"Cuba","Cosmopolitan AM2a"
"AY854529",2001,"Cuba","Cosmopolitan AM2a"
"AY854530",2000,"Cuba","Cosmopolitan AM2a"
"AY854531",2002,"Cuba","Cosmopolitan AM2a"
"AY854534",2001,"Cuba","Cosmopolitan AM2a"
"AY854536",2000,"Cuba","Cosmopolitan AM2a"
"AY854544",2000,"Cuba","Cosmopolitan AM2a"
"AY854545",2000,"Cuba","Cosmopolitan AM2a"
"AY854546",2002,"Cuba","Cosmopolitan AM2a"
"AY854547",2002,"Cuba","Cosmopolitan AM2a"
"AY854548",2001,"Cuba","Cosmopolitan AM2a"
"AY854550",2002,"Cuba","Cosmopolitan AM2a"
"AY854552",2000,"Cuba","Cosmopolitan AM2a"
"AY854554",2002,"Cuba","Cosmopolitan AM2a"
"AY854558",2002,"Cuba","Cosmopolitan AM2a"
"AY854559",2002,"Cuba","Cosmopolitan AM2a"
"AY854560",2002,"Cuba","Cosmopolitan AM2a"
"AY854561",2002,"Cuba","Cosmopolitan AM2a"
"AY854562",2000,"Cuba","Cosmopolitan AM2a"
"AY854564",2002,"Cuba","Cosmopolitan AM2a"
"AY854567",2000,"Cuba","Cosmopolitan AM2a"
"AY854569",2002,"Cuba","Cosmopolitan AM2a"
"AY854573",2001,"Cuba","Cosmopolitan AM2a"
"AY854574",2001,"Cuba","Cosmopolitan AM2a"
"AY854575",2000,"Cuba","Cosmopolitan AM2a"
"AY854576",2000,"Cuba","Cosmopolitan AM2a"
"AY854578",2002,"Cuba","Cosmopolitan AM2a"
"AY854580",2000,"Iran","Cosmopolitan ME1a"
"AY854581",2005,"Iran","Cosmopolitan CA2"
"AY854582",2000,"Iran","Cosmopolitan ME1a"
"AY854583",2005,"Iran","Cosmopolitan CA2"
"AY854584",2000,"Iran","Cosmopolitan ME1a"
"AY854585",2000,"Iran","Cosmopolitan ME1a"
"AY854586",2005,"Iran","Cosmopolitan CA1"
"AY854589",1990,"Mexico","Cosmopolitan AM2a"
"AY854591",1996,"Mexico","Cosmopolitan AM2a"
"AY854593",2005,"Mexico","Cosmopolitan"
"DQ099524",2005,"-","Cosmopolitan"
"DQ099525",2005,"-","Cosmopolitan"
"DQ149104",2005,"Brazil","Cosmopolitan"
"DQ666322",2006,"China","Cosmopolitan"
"DQ837382",1997,"Israel","Cosmopolitan ME1a"
"DQ837383",1996,"Israel","Cosmopolitan ME1a"
"DQ837384",2003,"Israel","Cosmopolitan ME1a"
"DQ837385",2004,"Israel","Cosmopolitan ME1a"
"DQ837386",1996,"Israel","Cosmopolitan ME1a"
"DQ837387",2005,"Israel","Cosmopolitan ME1a"
"DQ837388",2000,"Israel","Cosmopolitan ME1a"
"DQ837389",2004,"Israel","Cosmopolitan ME1a"
"DQ837390",2004,"Israel","Cosmopolitan ME1a"
"DQ837391",1995,"Israel","Cosmopolitan ME1a"
"DQ837392",2005,"Israel","Cosmopolitan ME2"
"DQ837393",2005,"Israel","Cosmopolitan ME2"
"DQ837394",2005,"Israel","Cosmopolitan ME2"
"DQ837395",2005,"Israel","Cosmopolitan ME2"
"DQ837396",1998,"Israel","Cosmopolitan ME1a"
"DQ837397",1999,"Israel","Cosmopolitan ME1a"
"DQ837398",1996,"Israel","Cosmopolitan ME1a"
"DQ837399",1998,"Israel","Cosmopolitan ME1a"
"DQ837400",1996,"Israel","Cosmopolitan ME1a"
"DQ837401",1996,"Israel","Cosmopolitan ME1a"
"DQ837402",1999,"Israel","Cosmopolitan ME1a"
"DQ837403",1999,"Israel","Cosmopolitan ME1a"
"DQ837404",1999,"Israel","Cosmopolitan ME1a"
"DQ837405",1999,"Israel","Cosmopolitan ME1a"
"DQ837406",1996,"Israel","Cosmopolitan ME1a"
"DQ837407",1996,"Israel","Cosmopolitan ME1a"
"DQ837408",2005,"Israel","Cosmopolitan ME2"
"DQ837409",2001,"Israel","Cosmopolitan ME1a"
"DQ837410",2003,"Israel","Cosmopolitan ME1a"
"DQ837411",1998,"Israel","Cosmopolitan ME1a"
"DQ837412",2000,"Israel","Cosmopolitan ME1a"
"DQ837413",2000,"Israel","Cosmopolitan ME1a"
"DQ837414",2002,"Israel","Cosmopolitan ME1a"
"DQ837415",1998,"Israel","Cosmopolitan ME1a"
"DQ837416",1999,"Israel","Cosmopolitan ME1a"
"DQ837417",1997,"Israel","Cosmopolitan ME1a"
"DQ837418",2004,"Israel","Cosmopolitan ME1a"
"DQ837419",1997,"Israel","Cosmopolitan ME1a"
"DQ837420",2003,"Israel","Cosmopolitan ME1a"
"DQ837421",2000,"Israel","Cosmopolitan ME1a"
"DQ837422",1999,"Jordan","Cosmopolitan ME1a"
"DQ837424",1998,"Jordan","Cosmopolitan ME1a"
"DQ837425",1998,"Jordan","Cosmopolitan ME1a"
"DQ837426",1998,"Jordan","Cosmopolitan ME1a"
"DQ837427",1998,"Jordan","Cosmopolitan ME1a"
"DQ837428",1998,"Israel","Cosmopolitan ME1a"
"DQ837429",1996,"Israel","Cosmopolitan ME1a"
"DQ837432",2005,"Israel","Cosmopolitan ME2"
"DQ837433",1996,"Israel","Cosmopolitan ME1a"
"DQ837434",1995,"Israel","Cosmopolitan ME1a"
"DQ837435",1999,"Israel","Cosmopolitan ME1a"
"DQ837436",2005,"Israel","Cosmopolitan ME2"
"DQ837437",2005,"Israel","Cosmopolitan ME2"
"DQ837438",1997,"Israel","Cosmopolitan ME1a"
"DQ837439",1997,"Israel","Cosmopolitan ME1a"
"DQ837440",1996,"Israel","Cosmopolitan ME1a"
"DQ837442",1998,"Israel","Cosmopolitan ME1a"
"DQ837444",1997,"Israel","Cosmopolitan ME1a"
"DQ837445",2005,"Israel","Cosmopolitan ME2"
"DQ837446",2000,"Israel","Cosmopolitan ME1a"
"DQ837447",2005,"Israel","Cosmopolitan ME2"
"DQ837448",1998,"Israel","Cosmopolitan ME1a"
"DQ837449",1998,"Israel","Cosmopolitan ME1a"
"DQ837450",2000,"Israel","Cosmopolitan ME1a"
"DQ837451",2002,"Israel","Cosmopolitan ME1a"
"DQ837452",2004,"Israel","Cosmopolitan ME1a"
"DQ837453",2004,"Israel","Cosmopolitan ME2"
"DQ837454",2005,"Israel","Cosmopolitan ME2"
"DQ837455",2005,"Israel","Cosmopolitan ME2"
"DQ837456",1999,"Israel","Cosmopolitan ME1a"
"DQ837457",2000,"Israel","Cosmopolitan ME1a"
"DQ837458",1996,"Israel","Cosmopolitan ME1a"
"DQ837459",1999,"Israel","Cosmopolitan ME1a"
"DQ837460",1998,"Israel","Cosmopolitan ME1a"
"DQ837464",2005,"Israel","Cosmopolitan ME2"
"DQ837465",1997,"Lebanon","Cosmopolitan ME1a"
"DQ837466",2002,"Israel","Cosmopolitan ME1a"
"DQ837467",2005,"Israel","Cosmopolitan ME2"
"DQ837468",2006,"Israel","Cosmopolitan ME2"
"DQ837469",2005,"Israel","Cosmopolitan ME2"
"DQ837470",1998,"Israel","Cosmopolitan ME1a"
"DQ837471",1998,"Israel","Cosmopolitan ME1a"
"DQ837472",1996,"Israel","Cosmopolitan ME1a"
"DQ837473",1997,"Israel","Cosmopolitan ME1a"
"DQ837474",2000,"Turkey","Cosmopolitan CA2"
"DQ837475",2000,"Turkey","Cosmopolitan ME2"
"DQ837476",2000,"Turkey","Cosmopolitan ME2"
"DQ837477",2000,"Turkey","Cosmopolitan ME2"
"DQ837478",2000,"Turkey","Cosmopolitan ME2"
"DQ837479",2000,"Turkey","Cosmopolitan ME2"
"DQ837480",2000,"Turkey","Cosmopolitan ME2"
"DQ837481",1997,"Israel","Cosmopolitan ME1a"
"DQ837482",2004,"Israel","Cosmopolitan ME1a"
"DQ837483",1997,"Israel","Cosmopolitan ME1a"
"DQ837484",1995,"Israel","Cosmopolitan ME1a"
"DQ837485",1996,"Israel","Cosmopolitan ME1a"
"DQ837486",2005,"Israel","Cosmopolitan ME2"
"DQ837487",2004,"Israel","Cosmopolitan ME1a"
"DQ875050",2006,"China","Cosmopolitan"
"DQ875051",2006,"China","Cosmopolitan"
"DQ900547",1996,"Tanzania","Cosmopolitan AF1b"
"DQ900548",1996,"Tanzania","Cosmopolitan AF1b"
"DQ900549",1997,"Tanzania","Cosmopolitan AF1b"
"DQ900550",1997,"Tanzania","Cosmopolitan AF1b"
"DQ900552",1997,"Tanzania","Cosmopolitan AF1b"
"DQ900553",1998,"Tanzania","Cosmopolitan AF1b"
"DQ900554",1998,"Tanzania","Cosmopolitan AF1b"
"DQ900555",2001,"Tanzania","Cosmopolitan AF1b"
"DQ900556",2003,"Tanzania","Cosmopolitan AF1b"
"DQ900557",1997,"Tanzania","Cosmopolitan AF1b"
"DQ900558",2004,"Tanzania","Cosmopolitan AF1b"
"DQ900559",1997,"Tanzania","Cosmopolitan AF1b"
"DQ900560",1997,"Tanzania","Cosmopolitan AF1b"
"DQ900561",1994,"Tanzania","Cosmopolitan AF1b"
"DQ900563",1998,"Tanzania","Cosmopolitan AF1b"
"DQ900564",1998,"Tanzania","Cosmopolitan AF1b"
"DQ900565",1999,"Tanzania","Cosmopolitan AF1b"
"DQ900567",2004,"Tanzania","Cosmopolitan AF1b"
"DQ900568",2004,"Tanzania","Cosmopolitan AF1b"
"DQ900569",2004,"Tanzania","Cosmopolitan AF1b"
"DQ900570",2003,"Tanzania","Cosmopolitan AF1b"
"EF152234",2006,"Brazil","Cosmopolitan"
"EF152257",2006,"Brazil","Cosmopolitan"
"EF152267",2006,"Brazil","Cosmopolitan"
"EF152271",2006,"Brazil","Cosmopolitan"
"EF194161",2007,"Brazil","Cosmopolitan"
"EF542830",2008,"Russia","Cosmopolitan"
"EF614254",2008,"Mongolia","Cosmopolitan CA1"
"EF614255",2008,"Mongolia","Cosmopolitan CA1"
"EF614256",2008,"Mongolia","Cosmopolitan CA1"
"EF614257",2008,"Mongolia","Cosmopolitan CA1"
"EU086161",2004,"Colombia","Cosmopolitan AM2a"
"EU086163",1987,"Saudi Arabia","Cosmopolitan ME1a"
"EU086199",1990,"Oman","Cosmopolitan ME1a"
"EU282381",2006,"China","Cosmopolitan"
"EU293115",1991,"France","Cosmopolitan WE"
"EU851120",1995,"Spain","Cosmopolitan AF1a"
"EU851121",1995,"Spain","Cosmopolitan AF1a"
"EU851122",1993,"Spain","Cosmopolitan AF1a"
"EU851123",1993,"Spain","Cosmopolitan AF1a"
"EU851124",1997,"Spain","Cosmopolitan AF1a"
"EU851125",2002,"Spain","Cosmopolitan AF1a"
"EU851126",1997,"Spain","Cosmopolitan AF1a"
"EU851127",1990,"Spain","Cosmopolitan AF1a"
"EU851128",1996,"Spain","Cosmopolitan AF1a"
"EU851129",1985,"Spain","Cosmopolitan AF1a"
"EU853566",1986,"Tunisia","Cosmopolitan AF1a"
"EU853567",1996,"Algeria","Cosmopolitan AF1a"
"EU853568",1996,"Algeria","Cosmopolitan AF1a"
"EU853569",1990,"Morocco","Cosmopolitan AF1a"
"EU853570",1991,"Morocco","Cosmopolitan AF1a"
"EU853571",1991,"Morocco","Cosmopolitan AF1a"
"EU853572",1986,"Morocco","Cosmopolitan AF1a"
"EU853573",1986,"Tunisia","Cosmopolitan AF1a"
"EU853574",1986,"Tunisia","Cosmopolitan AF1a"
"EU853575",1986,"Tunisia","Cosmopolitan AF1a"
"EU853576",1986,"Tunisia","Cosmopolitan AF1a"
"EU853577",1986,"Tunisia","Cosmopolitan AF1a"
"EU853578",1986,"Tunisia","Cosmopolitan AF1a"
"EU853579",1986,"Tunisia","Cosmopolitan AF1a"
"EU853580",1987,"Ethiopia","Cosmopolitan AF1a"
"EU853581",1988,"Ethiopia","Cosmopolitan AF1a"
"EU853582",1995,"Rwanda","Cosmopolitan AF1b"
"EU853583",1990,"Burundi","Cosmopolitan AF1b"
"EU853584",2004,"Central African Republic","Cosmopolitan AF1b"
"EU853585",2005,"Central African Republic","Cosmopolitan AF1b"
"EU853586",2003,"Central African Republic","Cosmopolitan AF1b"
"EU853587",2006,"Central African Republic","Cosmopolitan AF1b"
"EU853588",2006,"Central African Republic","Cosmopolitan AF1b"
"EU853589",2007,"Central African Republic","Cosmopolitan AF1b"
"EU853590",2000,"Central African Republic","Cosmopolitan AF1b"
"FJ228494",2007,"Mexico","Cosmopolitan"
"FJ228495",2004,"Puerto Rico","Cosmopolitan"
"FJ228496",2006,"Puerto Rico","Cosmopolitan"
"FJ228497",2006,"Puerto Rico","Cosmopolitan"
"FJ228498",2004,"Peru","Cosmopolitan"
"FJ228499",2004,"Peru","Cosmopolitan"
"FJ228500",2005,"Peru","Cosmopolitan"
"FJ228501",2004,"Peru","Cosmopolitan"
"FJ228502",1999,"Mexico","Cosmopolitan AM2a"
"FJ228503",2000,"Mexico","Cosmopolitan AM2a"
"FJ228504",2001,"Mexico","Cosmopolitan AM2a"
"FJ228505",2002,"Mexico","Cosmopolitan AM2a"
"FJ228506",1999,"Mexico","Cosmopolitan AM2a"
"FJ228507",1999,"Mexico","Cosmopolitan AM2a"
"FJ228508",1991,"Mexico","Cosmopolitan AM2a"
"FJ228509",1990,"Mexico","Cosmopolitan AM2a"
"FJ228510",1991,"Mexico","Cosmopolitan AM2a"
"FJ228511",1994,"Mexico","Cosmopolitan AM2a"
"FJ228512",2002,"Mexico","Cosmopolitan AM2a"
"FJ228513",2000,"Mexico","Cosmopolitan AM2a"
"FJ228514",1991,"Mexico","Cosmopolitan AM2a"
"FJ228515",2001,"Mexico","Cosmopolitan AM2a"
"FJ228516",2000,"Mexico","Cosmopolitan AM2a"
"FJ228517",2001,"Honduras","Cosmopolitan AM2a"
"FJ228518",2002,"Mexico","Cosmopolitan AM2a"
"FJ228519",1990,"Mexico","Cosmopolitan AM2a"
"FJ228520",1990,"United States","Cosmopolitan AM2a"
"FJ228521",1991,"Mexico","Cosmopolitan AM2a"
"FJ228522",1994,"Mexico","Cosmopolitan AM2a"
"FJ228523",1998,"Mexico","Cosmopolitan AM2a"
"FJ228524",1995,"Mexico","Cosmopolitan AM2a"
"FJ228525",2002,"Mexico","Cosmopolitan AM2a"
"FJ228526",2001,"Mexico","Cosmopolitan AM2a"
"FJ228527",2002,"Mexico","Cosmopolitan AM2a"
"FJ228528",1994,"United States","Cosmopolitan AM2a"
"FJ228529",2004,"United States","Cosmopolitan AM2a"
"FJ228530",1998,"United States","Cosmopolitan AM2a"
"FJ228531",1991,"Mexico","Cosmopolitan AM2a"
"FJ228532",1995,"Mexico","Cosmopolitan AM2a"
"FJ228533",2000,"Mexico","Cosmopolitan AM2a"
"FJ228534",1939,"United States","Cosmopolitan"
"FJ228535",1950,"United States","Cosmopolitan"
"FJ228536",2007,"United States","Cosmopolitan"
"FJ228537",1994,"United States","Cosmopolitan"
"FJ228538",2007,"United States","Cosmopolitan"
"FJ228539",1954,"United States","Cosmopolitan"
"FJ228543",2007,"Mexico","Cosmopolitan"
"FJ228544",2001,"Mexico","Cosmopolitan"
"FJ228545",2000,"Mexico","Cosmopolitan"
"FJ424484",2008,"Italy","Cosmopolitan WE"
"FJ440104",2008,"Equatorial Guinea","Cosmopolitan AF1a"
"FJ577895",2009,"China","Cosmopolitan"
"GQ412744",1931,"China","Cosmopolitan"
"GQ478245",2009,"Italy","Cosmopolitan WE"
"GQ918139",2010,"-","Cosmopolitan"
"GU565703",1948,"-","Cosmopolitan"
"GU565704",1948,"-","Cosmopolitan"
"GU798102",1986,"Tunisia","Cosmopolitan AF1a"
"GU798103",1986,"Tunisia","Cosmopolitan AF1a"
"GU798104",1986,"Tunisia","Cosmopolitan AF1a"
"GU798105",1986,"Tunisia","Cosmopolitan AF1a"
"GU798106",1986,"Tunisia","Cosmopolitan AF1a"
"GU798107",1986,"Tunisia","Cosmopolitan AF1a"
"GU798108",1986,"Tunisia","Cosmopolitan AF1a"
"GU798109",2002,"Algeria","Cosmopolitan AF1a"
"GU798110",1990,"Morocco","Cosmopolitan AF1a"
"GU798111",1990,"Morocco","Cosmopolitan AF1a"
"GU798112",1990,"Morocco","Cosmopolitan AF1a"
"GU798113",2007,"Morocco","Cosmopolitan AF1a"
"GU798114",2007,"Morocco","Cosmopolitan AF1a"
"GU798115",2007,"Morocco","Cosmopolitan AF1a"
"GU798116",2008,"Morocco","Cosmopolitan AF1a"
"GU798117",2008,"Morocco","Cosmopolitan AF1a"
"GU798118",2007,"Morocco","Cosmopolitan AF1a"
"GU798119",2006,"Morocco","Cosmopolitan AF1a"
"GU798120",2007,"Morocco","Cosmopolitan AF1a"
"GU798121",2006,"Morocco","Cosmopolitan AF1a"
"GU798122",2003,"Morocco","Cosmopolitan AF1a"
"GU798123",2007,"Morocco","Cosmopolitan AF1a"
"GU798124",2007,"Morocco","Cosmopolitan AF1a"
"GU798125",1990,"Morocco","Cosmopolitan AF1a"
"GU798126",2008,"Morocco","Cosmopolitan AF1a"
"GU798127",2006,"Morocco","Cosmopolitan AF1a"
"GU798128",2007,"Morocco","Cosmopolitan AF1a"
"GU798129",2007,"Morocco","Cosmopolitan AF1a"
"GU798130",2008,"Morocco","Cosmopolitan AF1a"
"GU798131",2007,"Morocco","Cosmopolitan AF1a"
"GU798132",2004,"Morocco","Cosmopolitan AF1a"
"GU798133",2006,"Morocco","Cosmopolitan AF1a"
"GU798134",2007,"Morocco","Cosmopolitan AF1a"
"GU798135",2007,"Morocco","Cosmopolitan AF1a"
"GU798136",2007,"Morocco","Cosmopolitan AF1a"
"GU798137",2007,"Morocco","Cosmopolitan AF1a"
"GU798138",2007,"Morocco","Cosmopolitan AF1a"
"GU798139",2007,"Morocco","Cosmopolitan AF1a"
"GU798140",2007,"Morocco","Cosmopolitan AF1a"
"GU798141",2004,"Morocco","Cosmopolitan AF1a"
"GU798142",1991,"Spain","Cosmopolitan AF1a"
"GU798143",2007,"Morocco","Cosmopolitan AF1a"
"GU798144",2008,"Algeria","Cosmopolitan AF1a"
"GU798145",2008,"Algeria","Cosmopolitan AF1a"
"GU798146",2007,"Morocco","Cosmopolitan AF1a"
"GU798147",2008,"Morocco","Cosmopolitan AF1a"
"GU798148",2008,"Morocco","Cosmopolitan AF1a"
"GU798149",2007,"Morocco","Cosmopolitan AF1a"
"GU798150",2007,"Morocco","Cosmopolitan AF1a"
"GU798151",2007,"Morocco","Cosmopolitan AF1a"
"GU798152",2007,"Morocco","Cosmopolitan AF1a"
"GU798153",2007,"Morocco","Cosmopolitan AF1a"
"GU798154",2007,"Morocco","Cosmopolitan AF1a"
"GU798155",2008,"Morocco","Cosmopolitan AF1a"
"GU798156",2004,"Morocco","Cosmopolitan AF1a"
"GU798157",2007,"Morocco","Cosmopolitan AF1a"
"GU798158",2007,"Morocco","Cosmopolitan AF1a"
"GU798159",2007,"Morocco","Cosmopolitan AF1a"
"GU798160",2007,"Morocco","Cosmopolitan AF1a"
"GU798161",1987,"Spain","Cosmopolitan AF1a"
"GU798162",2007,"Morocco","Cosmopolitan AF1a"
"GU798163",2007,"Morocco","Cosmopolitan AF1a"
"GU798164",2007,"Morocco","Cosmopolitan AF1a"
"GU798165",2007,"Morocco","Cosmopolitan AF1a"
"GU798166",2007,"Morocco","Cosmopolitan AF1a"
"GU798167",2008,"Morocco","Cosmopolitan AF1a"
"GU798168",2008,"Morocco","Cosmopolitan AF1a"
"GU798169",2003,"Morocco","Cosmopolitan AF1a"
"GU798170",2007,"Morocco","Cosmopolitan AF1a"
"GU798171",2008,"Morocco","Cosmopolitan AF1a"
"GU798172",2008,"Morocco","Cosmopolitan AF1a"
"GU798173",2007,"Morocco","Cosmopolitan AF1a"
"GU798174",2007,"Morocco","Cosmopolitan AF1a"
"GU798175",2007,"Morocco","Cosmopolitan AF1a"
"GU798176",2007,"Morocco","Cosmopolitan AF1a"
"GU798177",2007,"Morocco","Cosmopolitan AF1a"
"GU798178",2007,"Morocco","Cosmopolitan AF1a"
"GU798179",2007,"Morocco","Cosmopolitan AF1a"
"GU798180",2007,"Morocco","Cosmopolitan AF1a"
"GU798181",2008,"Morocco","Cosmopolitan AF1a"
"GU798182",2007,"Morocco","Cosmopolitan AF1a"
"GU798183",2007,"Morocco","Cosmopolitan AF1a"
"GU798184",2007,"Morocco","Cosmopolitan AF1a"
"GU798185",2007,"Morocco","Cosmopolitan AF1a"
"GU798186",2007,"Morocco","Cosmopolitan AF1a"
"GU798187",2007,"Morocco","Cosmopolitan AF1a"
"GU798188",2007,"Morocco","Cosmopolitan AF1a"
"GU798189",2007,"Morocco","Cosmopolitan AF1a"
"GU798190",2007,"Morocco","Cosmopolitan AF1a"
"GU798191",2007,"Morocco","Cosmopolitan AF1a"
"GU798192",2008,"Italy","Cosmopolitan AF1a"
"GU798193",2003,"Morocco","Cosmopolitan AF1a"
"GU798194",2004,"Morocco","Cosmopolitan AF1a"
"GU798195",2007,"Morocco","Cosmopolitan AF1a"
"GU798196",2007,"Morocco","Cosmopolitan AF1a"
"GU798197",2008,"Morocco","Cosmopolitan AF1a"
"GU798198",2006,"Morocco","Cosmopolitan AF1a"
"GU798199",2007,"Morocco","Cosmopolitan AF1a"
"GU798200",2003,"Morocco","Cosmopolitan AF1a"
"GU798201",2007,"Morocco","Cosmopolitan AF1a"
"GU798202",2005,"Morocco","Cosmopolitan AF1a"
"GU798203",2007,"Morocco","Cosmopolitan AF1a"
"GU798204",2007,"Morocco","Cosmopolitan AF1a"
"GU798205",2007,"Morocco","Cosmopolitan AF1a"
"GU798206",2006,"Morocco","Cosmopolitan AF1a"
"GU798207",2007,"Morocco","Cosmopolitan AF1a"
"GU798208",2007,"Morocco","Cosmopolitan AF1a"
"GU798209",2008,"Morocco","Cosmopolitan AF1a"
"GU798210",2007,"Morocco","Cosmopolitan AF1a"
"GU798211",2007,"Morocco","Cosmopolitan AF1a"
"GU798212",2007,"Morocco","Cosmopolitan AF1a"
"GU798213",2007,"Morocco","Cosmopolitan AF1a"
"GU798214",2007,"Morocco","Cosmopolitan AF1a"
"GU798215",2007,"Morocco","Cosmopolitan AF1a"
"GU798216",2007,"Morocco","Cosmopolitan AF1a"
"GU798217",2007,"Morocco","Cosmopolitan AF1a"
"GU798218",2007,"Morocco","Cosmopolitan AF1a"
"GU798219",2007,"Morocco","Cosmopolitan AF1a"
"GU798220",2007,"Morocco","Cosmopolitan AF1a"
"GU798221",2008,"Morocco","Cosmopolitan AF1a"
"GU798222",2007,"Morocco","Cosmopolitan AF1a"
"GU798223",2007,"Morocco","Cosmopolitan AF1a"
"GU798224",2007,"Morocco","Cosmopolitan AF1a"
"GU798225",2007,"Morocco","Cosmopolitan AF1a"
"GU798226",2007,"Morocco","Cosmopolitan AF1a"
"GU798227",2007,"Morocco","Cosmopolitan AF1a"
"GU798228",2007,"Morocco","Cosmopolitan AF1a"
"GU798229",2007,"Morocco","Cosmopolitan AF1a"
"GU798230",2008,"Morocco","Cosmopolitan AF1a"
"GU798231",1990,"Morocco","Cosmopolitan AF1a"
"GU798232",2007,"Morocco","Cosmopolitan AF1a"
"GU798233",2008,"Morocco","Cosmopolitan AF1a"
"GU798234",2006,"Morocco","Cosmopolitan AF1a"
"GU798235",2007,"Morocco","Cosmopolitan AF1a"
"GU798236",2007,"Morocco","Cosmopolitan AF1a"
"GU798237",2007,"Morocco","Cosmopolitan AF1a"
"GU798238",2007,"Morocco","Cosmopolitan AF1a"
"GU798239",2007,"Morocco","Cosmopolitan AF1a"
"GU798240",2007,"Morocco","Cosmopolitan AF1a"
"GU798241",2007,"Morocco","Cosmopolitan AF1a"
"GU798242",2007,"Morocco","Cosmopolitan AF1a"
